Peak Number,Energy (eV),electron number, atom,ELECTRON
6353,4.3414808, 5.39171,4336, lithium ionization 1, ELECTRON
6353,0.4105008, 9.32269,4337, beryllium ionization 1, ELECTRON
6354,4.3391964, 5.39171,4338, lithium ionization 1, ELECTRON
6354,0.4082164, 9.32269,4339, beryllium ionization 1, ELECTRON
6355,4.3503475, 5.39171,4340, lithium ionization 1, ELECTRON
6355,0.4193675, 9.32269,4341, beryllium ionization 1, ELECTRON
6356,4.3545386, 5.39171,4342, lithium ionization 1, ELECTRON
6356,0.4235586, 9.32269,4343, beryllium ionization 1, ELECTRON
6357,1.0674335, 5.39171,4344, lithium ionization 1, ELECTRON
6358,1.0675669, 5.39171,4345, lithium ionization 1, ELECTRON
6359,4.3584364, 5.39171,4346, lithium ionization 1, ELECTRON
6359,0.4274564, 9.32269,4347, beryllium ionization 1, ELECTRON
6360,4.3550809, 5.39171,4348, lithium ionization 1, ELECTRON
6360,0.4241009, 9.32269,4349, beryllium ionization 1, ELECTRON
6361,1.0610424, 5.39171,4350, lithium ionization 1, ELECTRON
6364,4.3524942, 5.39171,4351, lithium ionization 1, ELECTRON
6364,0.4215142, 9.32269,4352, beryllium ionization 1, ELECTRON
6365,1.0679269, 5.39171,4353, lithium ionization 1, ELECTRON
6366,4.3615920, 5.39171,4354, lithium ionization 1, ELECTRON
6366,0.4306120, 9.32269,4355, beryllium ionization 1, ELECTRON
6367,4.3624897, 5.39171,4356, lithium ionization 1, ELECTRON
6367,0.4315097, 9.32269,4357, beryllium ionization 1, ELECTRON
6368,1.0687402, 5.39171,4358, lithium ionization 1, ELECTRON
6369,4.3595786, 5.39171,4359, lithium ionization 1, ELECTRON
6369,0.4285986, 9.32269,4360, beryllium ionization 1, ELECTRON
6370,4.3637964, 5.39171,4361, lithium ionization 1, ELECTRON
6370,0.4328164, 9.32269,4362, beryllium ionization 1, ELECTRON
6371,4.3656231, 5.39171,4363, lithium ionization 1, ELECTRON
6371,0.4346431, 9.32269,4364, beryllium ionization 1, ELECTRON
6372,4.3623564, 5.39171,4365, lithium ionization 1, ELECTRON
6372,0.4313764, 9.32269,4366, beryllium ionization 1, ELECTRON
6373,4.3592186, 5.39171,4367, lithium ionization 1, ELECTRON
6373,0.4282386, 9.32269,4368, beryllium ionization 1, ELECTRON
6374,4.3575342, 5.39171,4369, lithium ionization 1, ELECTRON
6374,0.4265542, 9.32269,4370, beryllium ionization 1, ELECTRON
6375,1.0659580, 5.39171,4371, lithium ionization 1, ELECTRON
6376,4.3528409, 5.39171,4372, lithium ionization 1, ELECTRON
6376,0.4218609, 9.32269,4373, beryllium ionization 1, ELECTRON
6377,4.3543075, 5.39171,4374, lithium ionization 1, ELECTRON
6377,0.4233275, 9.32269,4375, beryllium ionization 1, ELECTRON
6378,1.0606469, 5.39171,4376, lithium ionization 1, ELECTRON
6379,1.0713269, 5.39171,4377, lithium ionization 1, ELECTRON
6380,1.0681358, 5.39171,4378, lithium ionization 1, ELECTRON
6382,4.3603386, 5.39171,4379, lithium ionization 1, ELECTRON
6382,0.4293586, 9.32269,4380, beryllium ionization 1, ELECTRON
6385,4.3623875, 5.39171,4381, lithium ionization 1, ELECTRON
6385,0.4314075, 9.32269,4382, beryllium ionization 1, ELECTRON
6386,4.3629742, 5.39171,4383, lithium ionization 1, ELECTRON
6386,0.4319942, 9.32269,4384, beryllium ionization 1, ELECTRON
6387,1.0688469, 5.39171,4385, lithium ionization 1, ELECTRON
6389,1.0688913, 5.39171,4386, lithium ionization 1, ELECTRON
6390,1.0735624, 5.39171,4387, lithium ionization 1, ELECTRON
6391,4.3640764, 5.39171,4388, lithium ionization 1, ELECTRON
6391,0.4330964, 9.32269,4389, beryllium ionization 1, ELECTRON
6394,1.0858335, 5.39171,4390, lithium ionization 1, ELECTRON
6395,4.3740453, 5.39171,4391, lithium ionization 1, ELECTRON
6395,0.4430653, 9.32269,4392, beryllium ionization 1, ELECTRON
6396,1.0842558, 5.39171,4393, lithium ionization 1, ELECTRON
6397,4.3773609, 5.39171,4394, lithium ionization 1, ELECTRON
6397,0.4463809, 9.32269,4395, beryllium ionization 1, ELECTRON
6398,4.3728764, 5.39171,4396, lithium ionization 1, ELECTRON
6398,0.4418964, 9.32269,4397, beryllium ionization 1, ELECTRON
6401,4.3715609, 5.39171,4398, lithium ionization 1, ELECTRON
6401,0.4405809, 9.32269,4399, beryllium ionization 1, ELECTRON
6402,4.3725475, 5.39171,4400, lithium ionization 1, ELECTRON
6402,0.4415675, 9.32269,4401, beryllium ionization 1, ELECTRON
6403,1.0827935, 5.39171,4402, lithium ionization 1, ELECTRON
6404,4.3749120, 5.39171,4403, lithium ionization 1, ELECTRON
6404,0.4439320, 9.32269,4404, beryllium ionization 1, ELECTRON
6405,4.3804720, 5.39171,4405, lithium ionization 1, ELECTRON
6405,0.4494920, 9.32269,4406, beryllium ionization 1, ELECTRON
6407,1.0872513, 5.39171,4407, lithium ionization 1, ELECTRON
6408,1.0888602, 5.39171,4408, lithium ionization 1, ELECTRON
6411,1.0991935, 5.39171,4409, lithium ionization 1, ELECTRON
6412,4.3957075, 5.39171,4410, lithium ionization 1, ELECTRON
6412,0.4647275, 9.32269,4411, beryllium ionization 1, ELECTRON
6415,1.1064735, 5.39171,4412, lithium ionization 1, ELECTRON
6419,1.1107980, 5.39171,4413, lithium ionization 1, ELECTRON
6421,4.3939920, 5.39171,4414, lithium ionization 1, ELECTRON
6421,0.4630120, 9.32269,4415, beryllium ionization 1, ELECTRON
6422,1.0988069, 5.39171,4416, lithium ionization 1, ELECTRON
6423,1.0994513, 5.39171,4417, lithium ionization 1, ELECTRON
6424,4.3867520, 5.39171,4418, lithium ionization 1, ELECTRON
6424,0.4557720, 9.32269,4419, beryllium ionization 1, ELECTRON
6427,1.0952691, 5.39171,4420, lithium ionization 1, ELECTRON
6429,4.3813520, 5.39171,4421, lithium ionization 1, ELECTRON
6429,0.4503720, 9.32269,4422, beryllium ionization 1, ELECTRON
6430,4.3814809, 5.39171,4423, lithium ionization 1, ELECTRON
6430,0.4505009, 9.32269,4424, beryllium ionization 1, ELECTRON
6431,1.0897046, 5.39171,4425, lithium ionization 1, ELECTRON
6433,4.3827609, 5.39171,4426, lithium ionization 1, ELECTRON
6433,0.4517809, 9.32269,4427, beryllium ionization 1, ELECTRON
6435,4.3836942, 5.39171,4428, lithium ionization 1, ELECTRON
6435,0.4527142, 9.32269,4429, beryllium ionization 1, ELECTRON
6436,1.0928869, 5.39171,4430, lithium ionization 1, ELECTRON
6437,4.3823253, 5.39171,4431, lithium ionization 1, ELECTRON
6437,0.4513453, 9.32269,4432, beryllium ionization 1, ELECTRON
6438,1.0910246, 5.39171,4433, lithium ionization 1, ELECTRON
6441,1.0859402, 5.39171,4434, lithium ionization 1, ELECTRON
6442,4.3777653, 5.39171,4435, lithium ionization 1, ELECTRON
6442,0.4467853, 9.32269,4436, beryllium ionization 1, ELECTRON
6444,4.3791164, 5.39171,4437, lithium ionization 1, ELECTRON
6444,0.4481364, 9.32269,4438, beryllium ionization 1, ELECTRON
6445,1.0841535, 5.39171,4439, lithium ionization 1, ELECTRON
6446,4.3753209, 5.39171,4440, lithium ionization 1, ELECTRON
6446,0.4443409, 9.32269,4441, beryllium ionization 1, ELECTRON
6447,4.3724409, 5.39171,4442, lithium ionization 1, ELECTRON
6447,0.4414609, 9.32269,4443, beryllium ionization 1, ELECTRON
6448,1.0776735, 5.39171,4444, lithium ionization 1, ELECTRON
6449,4.3691964, 5.39171,4445, lithium ionization 1, ELECTRON
6449,0.4382164, 9.32269,4446, beryllium ionization 1, ELECTRON
6452,4.3666186, 5.39171,4447, lithium ionization 1, ELECTRON
6452,0.4356386, 9.32269,4448, beryllium ionization 1, ELECTRON
6453,4.3677297, 5.39171,4449, lithium ionization 1, ELECTRON
6453,0.4367497, 9.32269,4450, beryllium ionization 1, ELECTRON
6455,1.0726158, 5.39171,4451, lithium ionization 1, ELECTRON
6456,4.3796675, 5.39171,4452, lithium ionization 1, ELECTRON
6456,0.4486875, 9.32269,4453, beryllium ionization 1, ELECTRON
6458,4.3765786, 5.39171,4454, lithium ionization 1, ELECTRON
6458,0.4455986, 9.32269,4455, beryllium ionization 1, ELECTRON
6459,4.3736942, 5.39171,4456, lithium ionization 1, ELECTRON
6459,0.4427142, 9.32269,4457, beryllium ionization 1, ELECTRON
6461,4.3774320, 5.39171,4458, lithium ionization 1, ELECTRON
6461,0.4464520, 9.32269,4459, beryllium ionization 1, ELECTRON
6462,1.0861891, 5.39171,4460, lithium ionization 1, ELECTRON
6463,1.0888646, 5.39171,4461, lithium ionization 1, ELECTRON
6464,4.3788097, 5.39171,4462, lithium ionization 1, ELECTRON
6464,0.4478297, 9.32269,4463, beryllium ionization 1, ELECTRON
6465,1.0865980, 5.39171,4464, lithium ionization 1, ELECTRON
6466,1.0844291, 5.39171,4465, lithium ionization 1, ELECTRON
6467,1.0858913, 5.39171,4466, lithium ionization 1, ELECTRON
6469,1.0858958, 5.39171,4467, lithium ionization 1, ELECTRON
6470,1.0927313, 5.39171,4468, lithium ionization 1, ELECTRON
6471,4.3855253, 5.39171,4469, lithium ionization 1, ELECTRON
6471,0.4545453, 9.32269,4470, beryllium ionization 1, ELECTRON
6472,1.0925891, 5.39171,4471, lithium ionization 1, ELECTRON
6473,4.3805520, 5.39171,4472, lithium ionization 1, ELECTRON
6473,0.4495720, 9.32269,4473, beryllium ionization 1, ELECTRON
6474,4.3809831, 5.39171,4474, lithium ionization 1, ELECTRON
6474,0.4500031, 9.32269,4475, beryllium ionization 1, ELECTRON
6475,1.0921935, 5.39171,4476, lithium ionization 1, ELECTRON
6477,1.0963846, 5.39171,4477, lithium ionization 1, ELECTRON
6479,4.3862186, 5.39171,4478, lithium ionization 1, ELECTRON
6479,0.4552386, 9.32269,4479, beryllium ionization 1, ELECTRON
6481,4.3828275, 5.39171,4480, lithium ionization 1, ELECTRON
6481,0.4518475, 9.32269,4481, beryllium ionization 1, ELECTRON
6482,4.3810942, 5.39171,4482, lithium ionization 1, ELECTRON
6482,0.4501142, 9.32269,4483, beryllium ionization 1, ELECTRON
6483,1.0903358, 5.39171,4484, lithium ionization 1, ELECTRON
6484,1.0922602, 5.39171,4485, lithium ionization 1, ELECTRON
6485,4.3793297, 5.39171,4486, lithium ionization 1, ELECTRON
6485,0.4483497, 9.32269,4487, beryllium ionization 1, ELECTRON
6486,4.3802764, 5.39171,4488, lithium ionization 1, ELECTRON
6486,0.4492964, 9.32269,4489, beryllium ionization 1, ELECTRON
6487,4.3783475, 5.39171,4490, lithium ionization 1, ELECTRON
6487,0.4473675, 9.32269,4491, beryllium ionization 1, ELECTRON
6488,4.3766809, 5.39171,4492, lithium ionization 1, ELECTRON
6488,0.4457009, 9.32269,4493, beryllium ionization 1, ELECTRON
6489,4.3715431, 5.39171,4494, lithium ionization 1, ELECTRON
6489,0.4405631, 9.32269,4495, beryllium ionization 1, ELECTRON
6490,1.0810646, 5.39171,4496, lithium ionization 1, ELECTRON
6491,4.3723875, 5.39171,4497, lithium ionization 1, ELECTRON
6491,0.4414075, 9.32269,4498, beryllium ionization 1, ELECTRON
6492,4.3734498, 5.39171,4499, lithium ionization 1, ELECTRON
6492,0.4424698, 9.32269,4500, beryllium ionization 1, ELECTRON
6493,1.0815447, 5.39171,4501, lithium ionization 1, ELECTRON
6494,4.3731475, 5.39171,4502, lithium ionization 1, ELECTRON
6494,0.4421675, 9.32269,4503, beryllium ionization 1, ELECTRON
6495,4.3717653, 5.39171,4504, lithium ionization 1, ELECTRON
6495,0.4407853, 9.32269,4505, beryllium ionization 1, ELECTRON
6496,1.0833980, 5.39171,4506, lithium ionization 1, ELECTRON
6497,1.0831269, 5.39171,4507, lithium ionization 1, ELECTRON
6499,1.0886958, 5.39171,4508, lithium ionization 1, ELECTRON
6500,1.0825357, 5.39171,4509, lithium ionization 1, ELECTRON
6501,1.0827269, 5.39171,4510, lithium ionization 1, ELECTRON
6502,1.0832869, 5.39171,4511, lithium ionization 1, ELECTRON
6503,4.3726142, 5.39171,4512, lithium ionization 1, ELECTRON
6503,0.4416342, 9.32269,4513, beryllium ionization 1, ELECTRON
6505,4.3777964, 5.39171,4514, lithium ionization 1, ELECTRON
6505,0.4468164, 9.32269,4515, beryllium ionization 1, ELECTRON
6506,1.0874824, 5.39171,4516, lithium ionization 1, ELECTRON
6510,4.3725920, 5.39171,4517, lithium ionization 1, ELECTRON
6510,0.4416120, 9.32269,4518, beryllium ionization 1, ELECTRON
6512,1.0761358, 5.39171,4519, lithium ionization 1, ELECTRON
6515,4.3649342, 5.39171,4520, lithium ionization 1, ELECTRON
6515,0.4339542, 9.32269,4521, beryllium ionization 1, ELECTRON
6516,4.3671653, 5.39171,4522, lithium ionization 1, ELECTRON
6516,0.4361853, 9.32269,4523, beryllium ionization 1, ELECTRON
6517,4.3686986, 5.39171,4524, lithium ionization 1, ELECTRON
6517,0.4377186, 9.32269,4525, beryllium ionization 1, ELECTRON
6518,1.0767491, 5.39171,4526, lithium ionization 1, ELECTRON
6519,1.0771491, 5.39171,4527, lithium ionization 1, ELECTRON
6520,1.0571491, 5.39171,4528, lithium ionization 1, ELECTRON
6521,4.3355297, 5.39171,4529, lithium ionization 1, ELECTRON
6521,0.4045497, 9.32269,4530, beryllium ionization 1, ELECTRON
6522,4.3357164, 5.39171,4531, lithium ionization 1, ELECTRON
6522,0.4047364, 9.32269,4532, beryllium ionization 1, ELECTRON
6524,1.0503357, 5.39171,4533, lithium ionization 1, ELECTRON
6525,4.3414009, 5.39171,4534, lithium ionization 1, ELECTRON
6525,0.4104209, 9.32269,4535, beryllium ionization 1, ELECTRON
6527,1.0492424, 5.39171,4536, lithium ionization 1, ELECTRON
6528,4.3403786, 5.39171,4537, lithium ionization 1, ELECTRON
6528,0.4093986, 9.32269,4538, beryllium ionization 1, ELECTRON
6529,4.3362186, 5.39171,4539, lithium ionization 1, ELECTRON
6529,0.4052386, 9.32269,4540, beryllium ionization 1, ELECTRON
6530,1.0412113, 5.39171,4541, lithium ionization 1, ELECTRON
6531,4.3315253, 5.39171,4542, lithium ionization 1, ELECTRON
6531,0.4005453, 9.32269,4543, beryllium ionization 1, ELECTRON
6532,1.0369669, 5.39171,4544, lithium ionization 1, ELECTRON
6533,1.0348158, 5.39171,4545, lithium ionization 1, ELECTRON
6534,4.3275386, 5.39171,4546, lithium ionization 1, ELECTRON
6534,0.3965586, 9.32269,4547, beryllium ionization 1, ELECTRON
6537,4.3258142, 5.39171,4548, lithium ionization 1, ELECTRON
6537,0.3948342, 9.32269,4549, beryllium ionization 1, ELECTRON
6538,4.3215786, 5.39171,4550, lithium ionization 1, ELECTRON
6538,0.3905986, 9.32269,4551, beryllium ionization 1, ELECTRON
6539,4.3248231, 5.39171,4552, lithium ionization 1, ELECTRON
6539,0.3938431, 9.32269,4553, beryllium ionization 1, ELECTRON
6540,1.0326380, 5.39171,4554, lithium ionization 1, ELECTRON
6542,4.3318809, 5.39171,4555, lithium ionization 1, ELECTRON
6542,0.4009009, 9.32269,4556, beryllium ionization 1, ELECTRON
6544,1.0431002, 5.39171,4557, lithium ionization 1, ELECTRON
6545,1.0437002, 5.39171,4558, lithium ionization 1, ELECTRON
6546,1.0415091, 5.39171,4559, lithium ionization 1, ELECTRON
6548,1.0423269, 5.39171,4560, lithium ionization 1, ELECTRON
6549,4.3345342, 5.39171,4561, lithium ionization 1, ELECTRON
6549,0.4035542, 9.32269,4562, beryllium ionization 1, ELECTRON
6550,1.0410557, 5.39171,4563, lithium ionization 1, ELECTRON
6551,1.0394380, 5.39171,4564, lithium ionization 1, ELECTRON
6552,4.3263253, 5.39171,4565, lithium ionization 1, ELECTRON
6552,0.3953453, 9.32269,4566, beryllium ionization 1, ELECTRON
6553,1.0335847, 5.39171,4567, lithium ionization 1, ELECTRON
6554,4.3215075, 5.39171,4568, lithium ionization 1, ELECTRON
6554,0.3905275, 9.32269,4569, beryllium ionization 1, ELECTRON
6556,4.3118098, 5.39171,4570, lithium ionization 1, ELECTRON
6556,0.3808298, 9.32269,4571, beryllium ionization 1, ELECTRON
6559,1.0107669, 5.39171,4572, lithium ionization 1, ELECTRON
6560,1.0100780, 5.39171,4573, lithium ionization 1, ELECTRON
6561,4.2950453, 5.39171,4574, lithium ionization 1, ELECTRON
6561,0.3640653, 9.32269,4575, beryllium ionization 1, ELECTRON
6562,4.2923653, 5.39171,4576, lithium ionization 1, ELECTRON
6562,0.3613853, 9.32269,4577, beryllium ionization 1, ELECTRON
6563,4.2898364, 5.39171,4578, lithium ionization 1, ELECTRON
6563,0.3588564, 9.32269,4579, beryllium ionization 1, ELECTRON
6564,0.9990602, 5.39171,4580, lithium ionization 1, ELECTRON
6565,1.0060291, 5.39171,4581, lithium ionization 1, ELECTRON
6566,4.2954409, 5.39171,4582, lithium ionization 1, ELECTRON
6566,0.3644609, 9.32269,4583, beryllium ionization 1, ELECTRON
6567,0.9991135, 5.39171,4584, lithium ionization 1, ELECTRON
6572,0.9764113, 5.39171,4585, lithium ionization 1, ELECTRON
6573,4.2688542, 5.39171,4586, lithium ionization 1, ELECTRON
6573,0.3378742, 9.32269,4587, beryllium ionization 1, ELECTRON
6575,0.9512647, 5.39171,4588, lithium ionization 1, ELECTRON
6576,4.2509209, 5.39171,4589, lithium ionization 1, ELECTRON
6576,0.3199409, 9.32269,4590, beryllium ionization 1, ELECTRON
6579,4.2381653, 5.39171,4591, lithium ionization 1, ELECTRON
6579,0.3071853, 9.32269,4592, beryllium ionization 1, ELECTRON
6580,4.2282275, 5.39171,4593, lithium ionization 1, ELECTRON
6580,0.2972475, 9.32269,4594, beryllium ionization 1, ELECTRON
6581,4.2270542, 5.39171,4595, lithium ionization 1, ELECTRON
6581,0.2960742, 9.32269,4596, beryllium ionization 1, ELECTRON
6582,4.2303342, 5.39171,4597, lithium ionization 1, ELECTRON
6582,0.2993542, 9.32269,4598, beryllium ionization 1, ELECTRON
6583,0.9423313, 5.39171,4599, lithium ionization 1, ELECTRON
6584,4.2294098, 5.39171,4600, lithium ionization 1, ELECTRON
6584,0.2984298, 9.32269,4601, beryllium ionization 1, ELECTRON
6585,4.2231475, 5.39171,4602, lithium ionization 1, ELECTRON
6585,0.2921675, 9.32269,4603, beryllium ionization 1, ELECTRON
6587,0.9011980, 5.39171,4604, lithium ionization 1, ELECTRON
6589,0.7960913, 5.39171,4605, lithium ionization 1, ELECTRON
6590,0.8638069, 5.39171,4606, lithium ionization 1, ELECTRON
6591,0.8574691, 5.39171,4607, lithium ionization 1, ELECTRON
6592,0.8578646, 5.39171,4608, lithium ionization 1, ELECTRON
6593,0.8475491, 5.39171,4609, lithium ionization 1, ELECTRON
6595,4.1403475, 5.39171,4610, lithium ionization 1, ELECTRON
6595,0.2093675, 9.32269,4611, beryllium ionization 1, ELECTRON
6596,4.1240320, 5.39171,4612, lithium ionization 1, ELECTRON
6596,0.1930520, 9.32269,4613, beryllium ionization 1, ELECTRON
6597,4.1257964, 5.39171,4614, lithium ionization 1, ELECTRON
6597,0.1948164, 9.32269,4615, beryllium ionization 1, ELECTRON
6598,4.0998542, 5.39171,4616, lithium ionization 1, ELECTRON
6598,0.1688742, 9.32269,4617, beryllium ionization 1, ELECTRON
6599,4.0736231, 5.39171,4618, lithium ionization 1, ELECTRON
6599,0.1426431, 9.32269,4619, beryllium ionization 1, ELECTRON
6600,0.7906024, 5.39171,4620, lithium ionization 1, ELECTRON
6601,4.0809209, 5.39171,4621, lithium ionization 1, ELECTRON
6601,0.1499409, 9.32269,4622, beryllium ionization 1, ELECTRON
6602,0.8197669, 5.39171,4623, lithium ionization 1, ELECTRON
6603,0.8348247, 5.39171,4624, lithium ionization 1, ELECTRON
6604,4.1352320, 5.39171,4625, lithium ionization 1, ELECTRON
6604,0.2042520, 9.32269,4626, beryllium ionization 1, ELECTRON
6605,4.1795875, 5.39171,4627, lithium ionization 1, ELECTRON
6605,0.2486075, 9.32269,4628, beryllium ionization 1, ELECTRON
6606,4.1844809, 5.39171,4629, lithium ionization 1, ELECTRON
6606,0.2535009, 9.32269,4630, beryllium ionization 1, ELECTRON
6607,4.1508675, 5.39171,4631, lithium ionization 1, ELECTRON
6607,0.2198875, 9.32269,4632, beryllium ionization 1, ELECTRON
6610,0.8683224, 5.39171,4633, lithium ionization 1, ELECTRON
6611,4.1687075, 5.39171,4634, lithium ionization 1, ELECTRON
6611,0.2377275, 9.32269,4635, beryllium ionization 1, ELECTRON
6612,4.2111431, 5.39171,4636, lithium ionization 1, ELECTRON
6612,0.2801631, 9.32269,4637, beryllium ionization 1, ELECTRON
6613,4.1945520, 5.39171,4638, lithium ionization 1, ELECTRON
6613,0.2635720, 9.32269,4639, beryllium ionization 1, ELECTRON
6614,0.9084602, 5.39171,4640, lithium ionization 1, ELECTRON
6615,4.2322320, 5.39171,4641, lithium ionization 1, ELECTRON
6615,0.3012520, 9.32269,4642, beryllium ionization 1, ELECTRON
6617,4.2835564, 5.39171,4643, lithium ionization 1, ELECTRON
6617,0.3525764, 9.32269,4644, beryllium ionization 1, ELECTRON
6618,4.2901653, 5.39171,4645, lithium ionization 1, ELECTRON
6618,0.3591853, 9.32269,4646, beryllium ionization 1, ELECTRON
6619,4.3208231, 5.39171,4647, lithium ionization 1, ELECTRON
6619,0.3898431, 9.32269,4648, beryllium ionization 1, ELECTRON
6621,4.2913520, 5.39171,4649, lithium ionization 1, ELECTRON
6621,0.3603720, 9.32269,4650, beryllium ionization 1, ELECTRON
6622,4.2883475, 5.39171,4651, lithium ionization 1, ELECTRON
6622,0.3573675, 9.32269,4652, beryllium ionization 1, ELECTRON
6623,4.2569208, 5.39171,4653, lithium ionization 1, ELECTRON
6623,0.3259408, 9.32269,4654, beryllium ionization 1, ELECTRON
6624,4.2416986, 5.39171,4655, lithium ionization 1, ELECTRON
6624,0.3107186, 9.32269,4656, beryllium ionization 1, ELECTRON
6625,0.9556024, 5.39171,4657, lithium ionization 1, ELECTRON
6626,4.2527608, 5.39171,4658, lithium ionization 1, ELECTRON
6626,0.3217808, 9.32269,4659, beryllium ionization 1, ELECTRON
6627,0.9671713, 5.39171,4660, lithium ionization 1, ELECTRON
6628,4.2484764, 5.39171,4661, lithium ionization 1, ELECTRON
6628,0.3174964, 9.32269,4662, beryllium ionization 1, ELECTRON
6629,0.9763135, 5.39171,4663, lithium ionization 1, ELECTRON
6630,4.2793786, 5.39171,4664, lithium ionization 1, ELECTRON
6630,0.3483986, 9.32269,4665, beryllium ionization 1, ELECTRON
6631,0.9770024, 5.39171,4666, lithium ionization 1, ELECTRON
6632,4.2519253, 5.39171,4667, lithium ionization 1, ELECTRON
6632,0.3209453, 9.32269,4668, beryllium ionization 1, ELECTRON
6634,4.2374364, 5.39171,4669, lithium ionization 1, ELECTRON
6634,0.3064564, 9.32269,4670, beryllium ionization 1, ELECTRON
6635,0.9356735, 5.39171,4671, lithium ionization 1, ELECTRON
6636,4.1920542, 5.39171,4672, lithium ionization 1, ELECTRON
6636,0.2610742, 9.32269,4673, beryllium ionization 1, ELECTRON
6640,0.8552780, 5.39171,4674, lithium ionization 1, ELECTRON
6641,4.1496498, 5.39171,4675, lithium ionization 1, ELECTRON
6641,0.2186698, 9.32269,4676, beryllium ionization 1, ELECTRON
6642,4.1761564, 5.39171,4677, lithium ionization 1, ELECTRON
6642,0.2451764, 9.32269,4678, beryllium ionization 1, ELECTRON
6643,0.8649580, 5.39171,4679, lithium ionization 1, ELECTRON
6644,4.1677520, 5.39171,4680, lithium ionization 1, ELECTRON
6644,0.2367720, 9.32269,4681, beryllium ionization 1, ELECTRON
6645,0.8680513, 5.39171,4682, lithium ionization 1, ELECTRON
6646,0.8353402, 5.39171,4683, lithium ionization 1, ELECTRON
6648,0.8345580, 5.39171,4684, lithium ionization 1, ELECTRON
6649,4.1338631, 5.39171,4685, lithium ionization 1, ELECTRON
6649,0.2028831, 9.32269,4686, beryllium ionization 1, ELECTRON
6651,4.1430586, 5.39171,4687, lithium ionization 1, ELECTRON
6651,0.2120786, 9.32269,4688, beryllium ionization 1, ELECTRON
6652,4.1399386, 5.39171,4689, lithium ionization 1, ELECTRON
6652,0.2089586, 9.32269,4690, beryllium ionization 1, ELECTRON
6653,0.8425269, 5.39171,4691, lithium ionization 1, ELECTRON
6654,4.1346809, 5.39171,4692, lithium ionization 1, ELECTRON
6654,0.2037009, 9.32269,4693, beryllium ionization 1, ELECTRON
6655,4.1171786, 5.39171,4694, lithium ionization 1, ELECTRON
6655,0.1861986, 9.32269,4695, beryllium ionization 1, ELECTRON
6656,4.1207920, 5.39171,4696, lithium ionization 1, ELECTRON
6656,0.1898120, 9.32269,4697, beryllium ionization 1, ELECTRON
6657,4.1216275, 5.39171,4698, lithium ionization 1, ELECTRON
6657,0.1906475, 9.32269,4699, beryllium ionization 1, ELECTRON
6658,4.1298275, 5.39171,4700, lithium ionization 1, ELECTRON
6658,0.1988475, 9.32269,4701, beryllium ionization 1, ELECTRON
6659,0.8333047, 5.39171,4702, lithium ionization 1, ELECTRON
6660,0.8351535, 5.39171,4703, lithium ionization 1, ELECTRON
6661,4.1197520, 5.39171,4704, lithium ionization 1, ELECTRON
6661,0.1887720, 9.32269,4705, beryllium ionization 1, ELECTRON
6662,0.8312247, 5.39171,4706, lithium ionization 1, ELECTRON
6664,4.1135431, 5.39171,4707, lithium ionization 1, ELECTRON
6664,0.1825631, 9.32269,4708, beryllium ionization 1, ELECTRON
6665,0.8272824, 5.39171,4709, lithium ionization 1, ELECTRON
6666,4.1174231, 5.39171,4710, lithium ionization 1, ELECTRON
6666,0.1864431, 9.32269,4711, beryllium ionization 1, ELECTRON
6667,0.8257935, 5.39171,4712, lithium ionization 1, ELECTRON
6669,4.1102542, 5.39171,4713, lithium ionization 1, ELECTRON
6669,0.1792742, 9.32269,4714, beryllium ionization 1, ELECTRON
6670,4.0822097, 5.39171,4715, lithium ionization 1, ELECTRON
6670,0.1512297, 9.32269,4716, beryllium ionization 1, ELECTRON
6671,4.0895608, 5.39171,4717, lithium ionization 1, ELECTRON
6671,0.1585808, 9.32269,4718, beryllium ionization 1, ELECTRON
6673,0.8061713, 5.39171,4719, lithium ionization 1, ELECTRON
6674,0.7967135, 5.39171,4720, lithium ionization 1, ELECTRON
6675,0.7681535, 5.39171,4721, lithium ionization 1, ELECTRON
6676,4.0632897, 5.39171,4722, lithium ionization 1, ELECTRON
6676,0.1323097, 9.32269,4723, beryllium ionization 1, ELECTRON
6677,4.0257875, 5.39171,4724, lithium ionization 1, ELECTRON
6677,0.0948075, 9.32269,4725, beryllium ionization 1, ELECTRON
6678,4.0489919, 5.39171,4726, lithium ionization 1, ELECTRON
6678,0.1180119, 9.32269,4727, beryllium ionization 1, ELECTRON
6680,4.0409653, 5.39171,4728, lithium ionization 1, ELECTRON
6680,0.1099853, 9.32269,4729, beryllium ionization 1, ELECTRON
6681,0.7538380, 5.39171,4730, lithium ionization 1, ELECTRON
6684,4.0365208, 5.39171,4731, lithium ionization 1, ELECTRON
6684,0.1055408, 9.32269,4732, beryllium ionization 1, ELECTRON
6685,4.0394453, 5.39171,4733, lithium ionization 1, ELECTRON
6685,0.1084653, 9.32269,4734, beryllium ionization 1, ELECTRON
6686,0.7451047, 5.39171,4735, lithium ionization 1, ELECTRON
6687,0.7632958, 5.39171,4736, lithium ionization 1, ELECTRON
6688,0.7521269, 5.39171,4737, lithium ionization 1, ELECTRON
6689,0.7637891, 5.39171,4738, lithium ionization 1, ELECTRON
6691,4.0014497, 5.39171,4739, lithium ionization 1, ELECTRON
6691,0.0704697, 9.32269,4740, beryllium ionization 1, ELECTRON
6692,0.6927269, 5.39171,4741, lithium ionization 1, ELECTRON
