Peak Number,Amplitude,Period (ns),Frequency (Hz),Energy (eV), Photons Flux in J/s
60,72,0.00040000421057063973,14999842105263.078,0.4194031,8.699052241061557e+21
61,66,0.00040000421057063973,14999842105263.078,0.4175986,7.309620285892002e+21
62,58,0.0006000063158559527,9999894736842.168,1.0579580,8.4674802485332e+21
63,61,0.00040000421057063973,14999842105263.078,0.4105008,6.244053508678636e+21
64,59,0.0014000147369972321,4285669172932.329,0.4105008,2.0444618630203116e+22
65,59,0.0004000042105706328,14999842105263.338,0.4193675,5.84131960862939e+21
66,59,0.00040000421057063973,14999842105263.078,0.4235586,5.84131960862949e+21
67,51,0.0010000105264265924,5999936842105.272,0.4235586,1.0911571604456476e+22
68,67,0.00040000421057063973,14999842105263.078,0.4276120,7.532801988835904e+21
69,63,0.0006000063158559596,9999894736842.05,1.0674113,9.990317808094133e+21
70,63,0.0004000042105706328,14999842105263.338,0.4241009,6.660211872062639e+21
71,63,0.0006000063158559596,9999894736842.05,1.0610424,9.990317808094133e+21
72,60,0.0004000042105706328,14999842105263.338,0.4244475,6.041008500737087e+21
73,59,0.0006000063158559596,9999894736842.05,1.0619135,8.761979412944237e+21
74,53,0.0010000105264265924,5999936842105.272,1.0619135,1.178416172122962e+22
75,66,0.0008000084211412795,7499921052631.539,1.0619135,1.4619240571784005e+22
76,62,0.0008000084211412725,7499921052631.604,1.0619135,1.2900909264907536e+22
77,55,0.0006000063158559596,9999894736842.05,1.0714646,7.61418779780417e+21
78,65,0.0006000063158559527,9999894736842.168,1.0687402,1.0634692048172643e+22
79,59,0.0008000084211412725,7499921052631.604,1.0687402,1.168263921725888e+22
80,57,0.00040000421057063973,14999842105263.078,0.4328164,5.452010171915315e+21
81,66,0.0006000063158559596,9999894736842.05,1.0745980,1.0964430428838006e+22
82,67,0.0006000063158559527,9999894736842.168,1.0713313,1.1299202983253726e+22
83,67,0.0006000063158559596,9999894736842.05,1.0681935,1.1299202983253858e+22
84,67,0.0004000042105706328,14999842105263.338,0.4265542,7.532801988835774e+21
85,48,0.00040000421057063973,14999842105263.078,0.4260031,3.866245440471803e+21
86,69,0.00040000421057063973,14999842105263.078,0.4218609,7.989233742224937e+21
87,52,0.0008000084211412725,7499921052631.604,0.4218609,9.074937214440682e+21
88,60,0.0006000063158559596,9999894736842.05,1.0606469,9.06151275110579e+21
89,61,0.0004000042105706328,14999842105263.338,0.4313720,6.244053508678528e+21
90,53,0.0006000063158559596,9999894736842.05,1.0681358,7.070497032737823e+21
91,45,0.0006000063158559527,9999894736842.168,1.0689180,5.097100922496947e+21
92,51,0.00040000421057063973,14999842105263.078,0.4293586,4.364628641782621e+21
93,61,0.00040000421057063973,14999842105263.078,0.4276920,6.244053508678636e+21
94,65,0.0004000042105706328,14999842105263.338,0.4310875,7.089794698781721e+21
95,52,0.00040000421057063973,14999842105263.078,0.4314075,4.53746860722038e+21
96,61,0.0006000063158559596,9999894736842.05,1.0719491,9.366080263017957e+21
97,71,0.0006000063158559527,9999894736842.168,1.0688469,1.2688634938423264e+22
98,66,0.0008000084211412725,7499921052631.604,1.0688469,1.4619240571783879e+22
99,60,0.0006000063158559665,9999894736841.936,1.0688913,9.061512751105893e+21
100,59,0.0006000063158559527,9999894736842.168,1.0735624,8.761979412944134e+21
101,53,0.00040000421057063973,14999842105263.078,0.4330964,4.713664688491881e+21
102,48,0.0006000063158559527,9999894736842.168,1.0753802,5.799368160707637e+21
103,59,0.0008000084211412795,7499921052631.539,1.0753802,1.168263921725898e+22
104,66,0.0010000105264265924,5999936842105.272,1.0753802,1.8274050714729877e+22
105,53,0.0006000063158559527,9999894736842.168,1.0830202,7.07049703273774e+21
106,63,0.0006000063158559527,9999894736842.168,1.0842558,9.990317808094015e+21
107,43,0.0006000063158559665,9999894736841.936,1.0863358,4.654093632442999e+21
108,68,0.00040000421057062585,14999842105263.598,0.4418964,7.759339807613281e+21
109,63,0.0008000084211412795,7499921052631.539,0.4418964,1.332042374412551e+22
110,67,0.00040000421057063973,14999842105263.078,0.4369009,7.532801988835904e+21
